"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","1970",3.439153,
"AUS","CPI","TOT","AGRWTH","A","1971",6.138107,
"AUS","CPI","TOT","AGRWTH","A","1972",6.024096,
"AUS","CPI","TOT","AGRWTH","A","1973",9.090909,
"AUS","CPI","TOT","AGRWTH","A","1974",15.41667,
"AUS","CPI","TOT","AGRWTH","A","1975",15.16245,
"AUS","CPI","TOT","AGRWTH","A","1976",13.32288,
"AUS","CPI","TOT","AGRWTH","A","1977",12.30982,
"AUS","CPI","TOT","AGRWTH","A","1978",8.004926,
"AUS","CPI","TOT","AGRWTH","A","1979",9.122006,
"AUS","CPI","TOT","AGRWTH","A","1980",10.13584,
"AUS","CPI","TOT","AGRWTH","A","1981",9.487666,
"AUS","CPI","TOT","AGRWTH","A","1982",11.35182,
"AUS","CPI","TOT","AGRWTH","A","1983",10.03891,
"AUS","CPI","TOT","AGRWTH","A","1984",3.960396,
"AUS","CPI","TOT","AGRWTH","A","1985",6.734694,
"AUS","CPI","TOT","AGRWTH","A","1986",9.05035,
"AUS","CPI","TOT","AGRWTH","A","1987",8.533022,
"AUS","CPI","TOT","AGRWTH","A","1988",7.21594,
"AUS","CPI","TOT","AGRWTH","A","1989",7.533903,
"AUS","CPI","TOT","AGRWTH","A","1990",7.333022,
"AUS","CPI","TOT","AGRWTH","A","1991",3.176675,
"AUS","CPI","TOT","AGRWTH","A","1992",1.012231,
"AUS","CPI","TOT","AGRWTH","A","1993",1.753653,
"AUS","CPI","TOT","AGRWTH","A","1994",1.969635,
"AUS","CPI","TOT","AGRWTH","A","1995",4.627767,
"AUS","CPI","TOT","AGRWTH","A","1996",2.615385,
"AUS","CPI","TOT","AGRWTH","A","1997",0.2248875,
"AUS","CPI","TOT","AGRWTH","A","1998",0.8601346,
"AUS","CPI","TOT","AGRWTH","A","1999",1.483129,
"AUS","CPI","TOT","AGRWTH","A","2000",4.457435,
"AUS","CPI","TOT","AGRWTH","A","2001",4.407135,
"AUS","CPI","TOT","AGRWTH","A","2002",2.981575,
"AUS","CPI","TOT","AGRWTH","A","2003",2.732596,
"AUS","CPI","TOT","AGRWTH","A","2004",2.343255,
"AUS","CPI","TOT","AGRWTH","A","2005",2.691832,
"AUS","CPI","TOT","AGRWTH","A","2006",3.555288,
"AUS","CPI","TOT","AGRWTH","A","2007",2.327611,
"AUS","CPI","TOT","AGRWTH","A","2008",4.350298,
"AUS","CPI","TOT","AGRWTH","A","2009",1.771117,
"AUS","CPI","TOT","AGRWTH","A","2010",2.91834,
"AUS","CPI","TOT","AGRWTH","A","2011",3.30385,
"AUS","CPI","TOT","AGRWTH","A","2012",1.76278,
"AUS","CPI","TOT","AGRWTH","A","2013",2.449889,
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","AGRWTH","A","2016",1.276991,
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUS","CPI","TOT","AGRWTH","A","2020",0.8469055,
"AUS","CPI","TOT","AGRWTH","A","2021",2.86391,
"CAN","CPI","TOT","AGRWTH","A","1970",3.34604,
"CAN","CPI","TOT","AGRWTH","A","1971",2.704918,
"CAN","CPI","TOT","AGRWTH","A","1972",4.988029,
"CAN","CPI","TOT","AGRWTH","A","1973",7.487647,
"CAN","CPI","TOT","AGRWTH","A","1974",10.99717,
"CAN","CPI","TOT","AGRWTH","A","1975",10.67219,
