LOCATION,TIME,VALUE
AUS,1970,0.892857
AUS,1971,0.88267
AUS,1972,0.838698
AUS,1973,0.704114
AUS,1974,0.696666
AUS,1975,0.763871
AUS,1976,0.818284
AUS,1977,0.901825
AUS,1978,0.873659
AUS,1979,0.894641
AUS,1980,0.878244
AUS,1981,0.870215
AUS,1982,0.985863
AUS,1983,1.110015
AUS,1984,1.139519
AUS,1985,1.431895
AUS,1986,1.495974
AUS,1987,1.42818
AUS,1988,1.279908
AUS,1989,1.264597
AUS,1990,1.281057
AUS,1991,1.283756
AUS,1992,1.361648
AUS,1993,1.47056
AUS,1994,1.367751
AUS,1995,1.349033
AUS,1996,1.277863
AUS,1997,1.34738
AUS,1998,1.591828
AUS,1999,1.54995
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUS,2017,1.304758
AUS,2018,1.338412
AUS,2019,1.438507
AUS,2020,1.453085
AUS,2021,1.331224
CAN,1970,1.044219
CAN,1971,1.009811
CAN,1972,0.990663
CAN,1973,1.00009
CAN,1974,0.978018
CAN,1975,1.017159
CAN,1976,0.986028
CAN,1977,1.063442
CAN,1978,1.140659
CAN,1979,1.171424
CAN,1980,1.169227
CAN,1981,1.198903
CAN,1982,1.233735
CAN,1983,1.232412
CAN,1984,1.295066
CAN,1985,1.365507
CAN,1986,1.389471
CAN,1987,1.325983
CAN,1988,1.230701
CAN,1989,1.183972
CAN,1990,1.166774
CAN,1991,1.145726
CAN,1992,1.208723
CAN,1993,1.290088
CAN,1994,1.365673
CAN,1995,1.372445
CAN,1996,1.363522
CAN,1997,1.384598
CAN,1998,1.483505
CAN,1999,1.485705
CAN,2000,1.485394
CAN,2001,1.54884
CAN,2002,1.570343
CAN,2003,1.401015
CAN,2004,1.301282
CAN,2005,1.211405
CAN,2006,1.134345
CAN,2007,1.074046
CAN,2008,1.067087
CAN,2009,1.141535
CAN,2010,1.030113
CAN,2011,0.989258
CAN,2012,0.999365
CAN,2013,1.030137
